"u_teamid","belief1","belief2","belief3","belief4","belief5","belief6","belief7","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","stat1","stat2","stat3","stat4","stat5","stat6","stat7","pro_immigrant","Group.1","Hsup"
58,2,3,1,2,2,3,2,1,1,2,4,0,0,0,0,0,2,3,3,2,4,1,3,4,58,0.666666666666667
58,3,3,2,3,3,4,3,2,1,1,5,1,0,0,0,1,1,3,3,1,3,2,1,6,58,0.666666666666667
59,3,3,3,3,3,3,3,1,1,1,2,0,0,0,0,0,3,3,2,3,4,2,2,3,59,0
60,2,3,1,1,2,2,3,1,1,1,5,0,0,0,0,0,2,4,1,3,3,1,3,1,60,0
61,2,3,1,2,2,3,2,1,1,1,2,0,0,0,0,0,4,4,3,9,4,3,2,5,61,0
61,3,3,3,3,2,3,3,1,3,3,NA,1,0,0,0,1,NA,NA,4,12,5,3,3,2,61,0
61,2,1,1,2,3,3,2,2,3,3,4,1,0,0,0,0,4,4,3,12,5,3,3,6,61,0
62,1,3,4,1,2,4,2,1,1,1,5,1,0,0,0,0,3,3,2,1,3,1,1,5,62,0.5
62,2,3,1,2,1,3,3,1,1,2,4,1,0,0,0,0,4,4,3,4,4,1,2,5,62,0.5
6,2,4,4,2,2,3,2,1,1,1,2,1,0,0,0,0,3,4,3,2,3,1,1,5,6,1
62,2,3,3,2,2,3,2,3,1,3,4,1,1,0,0,0,4,4,3,3,3,1,3,6,62,0.5
63,2,3,2,2,2,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,3,6,NA,NA
63,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,3,6,NA,NA
64,3,3,3,2,2,3,3,1,1,1,NA,0,0,0,0,0,NA,NA,4,2,3,1,1,5,64,0
64,2,3,4,2,3,4,3,1,1,1,2,0,0,0,0,0,1,2,4,1,2,1,1,2,64,0
64,2,3,2,2,2,3,2,1,1,1,5,1,0,0,0,0,2,4,4,1,3,1,1,5,64,0
65,2,1,1,3,3,2,3,3,3,3,5,1,0,0,0,0,3,3,3,12,4,2,3,4,65,0.666666666666667
65,3,3,2,3,3,2,3,1,3,3,4,0,0,0,0,1,4,4,4,12,5,2,3,4,65,0.666666666666667
65,3,3,3,3,3,3,3,1,2,1,5,0,0,0,0,0,4,4,4,3,4,1,3,3,65,0.666666666666667
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2,3,2,2,2,3,3,3,3,3,5,1,1,1,1,1,4,4,4,12,5,3,3,3,6,1
67,1,1,1,1,1,1,1,3,3,3,NA,1,0,0,0,0,NA,NA,3,12,5,2,3,6,NA,NA
68,3,4,3,3,3,4,3,3,1,1,4,0,0,0,0,0,4,4,4,5,4,2,1,4,68,0
68,3,3,2,2,2,2,3,1,1,1,2,0,0,0,0,0,2,4,3,1,4,1,1,5,68,0
68,3,3,2,3,3,3,3,1,1,1,3,0,0,0,0,0,2,4,4,2,3,1,1,4,68,0
69,2,2,2,3,3,3,3,1,1,2,4,1,0,0,0,0,2,4,4,3,4,1,2,3,69,0
69,2,3,2,2,2,2,2,2,2,2,5,1,0,0,0,1,4,4,3,2,4,2,2,4,69,0
69,2,3,2,3,2,2,3,2,1,2,5,1,0,0,0,0,3,4,3,1,4,1,2,4,69,0
70,3,3,2,4,3,4,3,1,1,1,5,0,0,0,0,0,1,4,1,1,1,2,1,4,70,0.5
70,2,2,1,3,2,4,3,2,3,2,5,1,0,0,0,0,1,2,2,1,3,3,3,3,70,0.5
71,2,2,2,2,2,2,2,1,1,1,4,0,0,0,0,0,NA,NA,2,2,3,3,2,4,NA,NA
7,3,3,3,3,3,3,3,1,1,1,2,0,0,0,0,0,3,4,4,2,3,1,1,4,7,0.5
72,3,3,3,3,3,3,3,3,3,1,3,0,0,0,0,0,4,4,5,12,5,3,3,6,72,0
72,3,3,3,3,3,3,3,1,3,3,4,0,0,0,0,0,2,4,3,12,1,1,1,5,72,0
72,4,4,4,4,4,4,4,1,1,1,4,0,0,0,0,0,4,4,3,6,4,3,2,6,72,0
73,3,3,2,3,3,3,3,1,1,1,4,1,0,0,0,1,2,3,4,3,4,2,2,6,73,0
74,2,3,1,2,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,2,5,NA,NA
75,2,3,2,2,3,3,3,1,1,1,2,0,0,0,0,0,3,3,4,5,3,3,3,5,75,0
75,3,3,2,2,3,3,3,1,1,3,5,0,0,0,0,0,4,4,4,3,5,1,3,1,75,0
75,3,3,2,3,3,3,3,1,1,3,4,1,0,0,0,0,3,4,4,12,2,3,1,4,75,0
76,2,3,2,3,4,3,3,1,1,1,2,0,0,0,0,0,2,2,3,1,2,1,1,2,NA,NA
76,2,3,2,3,2,2,3,1,2,3,NA,0,0,0,0,0,NA,NA,3,3,3,2,3,3,NA,NA
7,2,3,2,2,2,3,3,1,1,1,4,1,0,0,0,0,3,4,4,1,4,1,1,5,7,0.5
76,2,3,2,2,4,4,3,1,3,1,2,0,0,0,0,0,3,4,3,2,4,1,3,4,NA,NA
77,4,3,2,3,3,3,2,3,1,1,4,0,0,0,0,0,2,4,3,3,4,1,3,5,77,0
77,2,4,2,2,2,2,2,2,1,3,5,1,0,0,0,0,4,4,3,9,4,1,2,5,77,0
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,4,2,4,4,3,4,3,1,1,1,NA,1,0,0,0,1,NA,NA,3,3,4,2,2,4,NA,NA
79,4,4,4,4,4,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,6,NA,NA
79,3,3,4,3,3,3,2,1,1,1,NA,0,0,0,0,0,NA,NA,2,2,3,1,2,5,NA,NA
80,2,2,1,1,2,2,2,1,1,1,NA,0,0,0,0,0,NA,NA,3,1,3,2,2,6,NA,NA
80,1,1,2,1,2,3,1,1,2,1,NA,1,0,0,0,1,NA,NA,2,3,5,3,2,3,NA,NA
81,2,2,2,2,3,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,1,1,NA,NA
7,3,3,3,3,3,3,3,3,1,2,2,1,0,0,0,0,4,4,4,7,5,2,3,3,7,0.5
82,3,3,2,2,3,3,3,1,1,1,4,1,0,0,0,1,4,4,3,2,4,1,1,5,82,0
82,3,3,2,3,3,3,3,1,1,3,5,0,0,0,0,0,4,4,3,5,4,1,2,4,82,0
83,3,3,3,3,3,3,3,2,1,1,2,0,0,0,0,0,2,4,2,3,3,1,1,3,83,0
84,4,3,4,4,2,4,3,1,1,1,NA,1,0,0,0,0,NA,NA,4,5,3,3,2,5,84,0.5
84,2,3,1,2,2,3,2,1,1,2,2,1,0,0,0,0,4,4,3,7,3,2,1,4,84,0.5
85,2,3,1,1,3,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,2,6,NA,NA
86,2,3,3,2,NA,3,3,3,3,1,5,1,0,0,0,0,4,4,2,5,5,1,3,NA,86,1
86,2,2,4,4,4,4,4,1,1,1,3,0,0,0,0,0,4,4,2,4,3,1,1,5,86,1
