"V1","V2","V3","V4","V5","V6","V7","V8","df","logLik","AICc","delta","weight"
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"cluster_any_fbunemprate_ivC",NA,NA,NA,NA,4,1510.3635937403,-3012.69513619855,6.9305801984251,0.0303161328763213
"(Intercept)","ChangeFlow_mlm_fe",NA,NA,NA,NA,NA,NA,4,1516.69067358112,-3025.3492958802,0,1
"(Intercept)","ChangeFlow_mlm_fe",NA,NA,NA,NA,NA,"orig13_employed_iv",5,1514.97010022607,-3019.892084975,5.45721090519191,0.0613063670091613
"(Intercept)",NA,NA,NA,NA,NA,NA,"Stock_socult_ivC",4,1539.27141516166,-3070.51077904127,0,1
"(Intercept)",NA,NA,NA,NA,"Stock_decomm_ivC",NA,"Stock_socult_ivC",5,1538.23613592145,-3066.42415636576,4.08662267551063,0.114729980058173
"(Intercept)",NA,NA,NA,NA,"level_cyear_orig13",NA,NA,4,1528.56808897028,-3049.10412665851,0,1
"(Intercept)",NA,NA,"hybrid_mlm",NA,"level_cyear_orig13",NA,NA,5,1525.95830160295,-3041.86848772875,7.23563892975835,0.0261395260785659
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,4,1510.33876418582,-3012.6454770896,6.98023930737554,0.0295946676725986
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","antiimm_ivC_income_iv",NA,NA,NA,NA,NA,NA,4,1510.33288754695,-3012.63372381186,6.99199258511453,0.0294263632646521
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"Jobs_level_year",NA,NA,NA,NA,4,1509.58915041033,-3011.14624953861,8.47946685836678,0.0142066941773149
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"education_iv_reldenom_iv",NA,NA,NA,NA,NA,4,1510.33876418582,-3012.6454770896,6.98023930737554,0.0295946676725986
"(Intercept)",NA,NA,NA,NA,NA,"w1996_socult_ivC",NA,4,1523.83086865228,-3039.62968602251,0,1
"(Intercept)",NA,"IncDiff_upol_iv",NA,NA,NA,"w1996_socult_ivC",NA,5,1520.98463578312,-3031.92115608909,7.70852993341805,0.0207495074454932
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"Stock_level_country",NA,4,1510.78076380112,-3013.5294763202,6.09624007677439,0.0452987062186507
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,NA,NA,NA,"Scale_ols",NA,4,1510.67498614819,-3013.31792101434,6.30779538263641,0.0409379727164717
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,NA,"mmodel_reldenom_iv",NA,NA,NA,NA,4,1510.33876418582,-3012.6454770896,6.98023930737554,0.0295946676725986
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)","categorical_education_iv",NA,NA,NA,NA,NA,NA,4,1510.35931564912,-3012.68658001618,6.93913638079403,0.0301906219387306
"(Intercept)",NA,NA,NA,NA,NA,NA,NA,3,1512.82246588464,-3019.62571639697,0,1
"(Intercept)",NA,"hybrid_mlm_education_iv",NA,NA,NA,NA,NA,4,1511.53791301552,-3015.04377474898,4.58194164799306,0.0918735192907015
