v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142
1950,121465,1,2,1,2,3,3,3,2,3,3,3,3,2,2,3,2,1,1,4,5,2,4,4,4,2,2,2,2,2,3,3,3,3,2,4,2,2,3,2,1,4,2,4,2,3,2,3,2,2,2,2,2,3,3,2,2,1,55,3,2,1,38,3200,,3,,,,3,2,2,2,,4,2,2,,11,5,4,1,2,4,1,,90,6,4,,10,,2,,5101,,1,,,,,5,1,1,3,,1501,6,,,,2,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
1950,121472,1,2,2,2,3,4,4,4,4,4,4,4,1,1,1,2,1,2,5,5,3,5,,,,,,,,,3,3,3,3,3,3,5,4,,1,2,3,3,2,2,2,2,2,2,2,2,3,3,2,2,3,2,59,2,2,1,38,3901,,3,,,,1,2,,1,10,,1,2,,8,4,2,2,1,,,,90,6,2,1,6,,,,,,,21560,5,21560,5,5,1,1,6,,4901,6,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1950,121474,1,2,1,1,2,4,4,4,3,2,3,3,1,1,2,1,1,4,5,4,2,4,3,2,3,2,4,1,2,4,2,2,2,3,3,2,4,4,1,2,3,3,3,1,2,2,3,2,1,2,2,3,3,1,2,4,1,45,1,,1,40,5000,,5,,,,3,2,,1,,8,1,2,,11,5,4,1,2,3,4,,90,6,4,1,,,8,,5601,,5,28936,6,28936,6,5,1,1,6,,5301,11,,,,1,1,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,
1950,121481,1,2,2,2,2,2,4,2,3,3,3,3,3,3,3,3,1,3,5,5,2,4,4,4,2,2,2,2,4,4,1,2,2,3,3,3,3,4,1,2,3,3,3,2,3,3,2,3,2,2,2,2,4,2,2,4,2,34,1,,2,18,5301,,5,,,,3,2,,1,10,8,2,2,,15,6,4,1,3,4,1,,10,1,4,1,10,,1,,1501,,3,59780,11,23780,5,5,1,1,10,,4505,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,
1950,121485,1,2,1,1,1,2,3,3,1,1,1,1,2,3,4,3,1,1,3,5,2,2,2,3,2,2,4,1,4,4,1,3,3,2,5,3,3,2,2,3,3,3,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,21,5,2,1,30,2707,,2,,,,3,2,,2,,3,2,2,,12,5,2,2,3,3,4,,90,6,4,6,,,,,,,3,12000,3,12000,3,5,1,1,15,,2211,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,121489,1,2,2,2,2,3,4,4,4,2,3,3,2,1,2,2,,3,4,5,3,2,2,2,3,3,2,2,2,4,2,2,1,2,3,2,3,4,,3,3,4,3,1,2,1,3,2,2,1,2,2,1,2,2,3,1,34,1,,1,37,3201,,3,,,,1,2,,1,4,8,1,2,,11,5,6,95,2,3,4,,90,6,4,1,,,,,,,3,44717,9,32665,7,5,1,1,6,,8201,11,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,
1950,121490,1,2,1,1,1,4,4,2,2,2,2,2,2,4,4,4,1,2,4,5,3,4,2,2,3,2,3,3,4,3,2,3,3,2,4,3,3,4,1,2,2,4,3,1,2,2,4,2,2,2,3,3,3,2,2,3,1,41,1,,1,37,2200,,2,,,,1,2,,1,,8,1,2,,12,5,2,2,3,2,2,,10,1,4,1,12,,2,,5101,,3,,,,,5,1,1,6,,7409,6,,,,26,1,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,
1950,121509,1,2,1,1,1,3,4,2,3,2,3,2,2,3,3,2,1,1,4,5,1,2,4,2,2,2,2,1,4,4,1,1,3,2,3,2,4,3,1,2,4,3,3,3,3,2,3,2,2,2,2,3,2,2,2,2,1,23,1,1,1,40,2705,,2,,,,1,2,,1,10,8,2,2,,12,5,4,1,2,4,1,,44,5,4,2,12,,1,,5000,,2,59000,11,30000,6,5,2,2,11,,6201,10,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,121519,1,1,2,2,2,3,4,3,4,4,4,4,1,1,1,1,,3,5,5,3,4,2,2,2,2,3,2,2,3,2,2,2,3,3,3,4,4,1,1,3,3,4,3,2,2,2,2,2,2,2,3,3,2,2,4,1,42,1,,1,72,6105,,6,,,,,,,1,4,4,2,2,,11,5,4,1,3,4,1,,90,5,2,1,,,,,,,5,53864,11,53500,11,5,1,1,10,,5505,6,,,,2,1,,,,,,,,,,,,,,,,,,,,,4,2,2,,,,,
1950,121522,1,2,1,1,2,4,4,2,2,2,4,4,1,1,1,1,1,5,5,5,2,1,1,1,1,2,1,1,2,5,5,1,1,1,3,1,4,5,1,2,1,1,3,3,3,3,3,1,1,1,2,3,1,1,1,3,2,37,1,,8,,,,,,,,,,,,,,2,2,,9,4,2,2,2,2,2,,41,6,2,1,,,,,,,3,28936,6,5000,1,5,1,1,10,,,10,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,
